episode,reward,steps,success,epsilon,invalid_moves
1,-741,200,0,0.995,58
2,-409,150,1,0.990025,40
3,-849,200,0,0.985074875,70
4,-1004,202,0,0.9801495006250001,87
5,-867,200,0,0.9752487531218751,72
6,-841,201,0,0.9703725093562657,69
7,-705,200,0,0.9655206468094844,54
8,-842,202,0,0.960693043575437,69
9,-854,205,0,0.9558895783575597,70
10,-858,200,0,0.9511101304657719,71
11,-349,126,1,0.946354579813443,36
12,-750,200,0,0.9416228069143757,59
13,-417,104,1,0.9369146928798039,46
14,-876,200,0,0.9322301194154049,73
15,-843,203,0,0.9275689688183278,69
16,-696,200,0,0.9229311239742362,53
17,-867,200,0,0.918316468354365,72
18,-57,68,1,0.9137248860125932,10
19,-479,157,1,0.9091562615825302,47
20,-787,201,0,0.9046104802746175,63
21,-678,200,0,0.9000874278732445,51
22,-687,200,0,0.8955869907338783,52
23,-939,200,0,0.8911090557802088,80
24,-849,200,0,0.8866535105013078,70
25,-137,67,1,0.8822202429488013,19
26,-377,172,1,0.8778091417340573,34
27,-741,200,0,0.8734200960253871,58
28,-849,200,0,0.8690529955452602,70
29,-705,200,0,0.8647077305675338,54
30,-429,134,1,0.8603841919146962,44
31,-786,200,0,0.8560822709551227,63
32,-411,143,1,0.851801859600347,41
33,-732,200,0,0.8475428503023453,57
34,-297,119,1,0.8433051360508336,31
35,-769,201,0,0.8390886103705794,61
36,-485,181,1,0.8348931673187264,45
37,-867,200,0,0.8307187014821328,72
38,-750,200,0,0.8265651079747222,59
39,-733,201,0,0.8224322824348486,57
40,-759,200,0,0.8183201210226743,60
41,-633,200,0,0.8142285204175609,46
42,-669,200,0,0.810157377815473,50
43,-427,141,1,0.8061065909263957,43
44,-357,161,1,0.8020760579717637,33
45,-840,200,0,0.798065677681905,69
46,-606,200,0,0.7940753492934954,43
47,-840,200,0,0.7901049725470279,69
48,-117,65,1,0.7861544476842928,17
49,-175,87,1,0.7822236754458713,21
50,-689,202,0,0.778312557068642,52
51,-53,55,1,0.7744209942832988,11
52,-135,74,1,0.7705488893118823,18
53,-55,57,1,0.7666961448653229,11
54,-273,122,1,0.7628626641409962,28
55,-479,148,1,0.7590483508202912,48
56,-687,200,0,0.7552531090661897,52
57,-39,50,1,0.7514768435208588,10
58,-403,135,1,0.7477194593032545,41
59,-255,131,1,0.7439808620067382,25
60,-119,94,1,0.7402609576967045,14
61,-91,75,1,0.736559652908221,13
62,-750,200,0,0.7328768546436799,59
63,-47,85,1,0.7292124703704616,7
64,-351,164,1,0.7255664080186093,32
65,-171,65,1,0.7219385759785162,23
66,-321,125,1,0.7183288830986236,33
67,-131,88,1,0.7147372386831305,16
68,-177,89,1,0.7111635524897149,21
69,-209,76,1,0.7076077347272662,26
70,-151,81,1,0.7040696960536299,19
71,-113,70,1,0.7005493475733617,16
72,11,36,1,0.697046600835495,6
73,-353,166,1,0.6935613678313175,32
74,-361,138,1,0.6900935609921609,36
75,-137,67,1,0.6866430931872001,19
76,-35,46,1,0.6832098777212641,10
77,-105,53,1,0.6797938283326578,17
78,-77,79,1,0.6763948591909945,11
79,-5,52,1,0.6730128848950395,6
80,-25,45,1,0.6696478204705644,9
81,43,31,1,0.6662995813682115,3
82,-45,56,1,0.6629680834613705,10
83,-137,94,1,0.6596532430440636,16
84,-79,72,1,0.6563549768288433,12
85,-67,60,1,0.653073201944699,12
86,-71,73,1,0.6498078359349755,11
87,-311,97,1,0.6465587967553006,35
88,-53,55,1,0.6433260027715241,11
89,-209,103,1,0.6401093727576664,23
90,-253,102,1,0.6369088258938781,28
91,41,33,1,0.6337242817644086,3
92,-213,80,1,0.6305556603555866,26
93,9,38,1,0.6274028820538087,6
94,-83,67,1,0.6242658676435396,13
95,-47,67,1,0.6211445383053219,9
96,49,34,1,0.6180388156137953,2
97,-9,56,1,0.6149486215357263,6
98,49,25,1,0.6118738784280476,3
99,33,32,1,0.6088145090359074,4
100,33,41,1,0.6057704364907278,3
101,49,25,1,0.6027415843082742,3
102,-51,53,1,0.5997278763867329,11
103,-23,52,1,0.5967292370047992,8
104,-11,49,1,0.5937455908197752,7
105,-109,75,1,0.5907768628656763,15
106,-11,67,1,0.5878229785513479,5
107,21,44,1,0.5848838636585911,4
108,-227,112,1,0.5819594443402982,24
109,-35,73,1,0.5790496471185967,7
110,47,27,1,0.5761543988830038,3
111,3,44,1,0.5732736268885887,6
112,17,39,1,0.5704072587541458,5
113,-17,55,1,0.567555222460375,7
114,-123,89,1,0.5647174463480732,15
115,-3,41,1,0.5618938591163328,7
116,15,41,1,0.5590843898207511,5
117,-49,51,1,0.5562889678716474,11
118,-33,44,1,0.5535075230322891,10
119,-117,74,1,0.5507399854171277,16
120,-59,52,1,0.547986285490042,12
121,47,27,1,0.5452463540625918,3
122,-3,50,1,0.5425201222922789,6
123,-23,43,1,0.5398075216808175,9
124,29,27,1,0.5371084840724134,5
125,-65,58,1,0.5344229416520513,12
126,29,27,1,0.531750826943791,5
127,-61,45,1,0.5290920728090721,13
128,-15,35,1,0.5264466124450268,9
129,25,40,1,0.5238143793828016,4
130,-95,61,1,0.5211953074858876,15
131,49,25,1,0.5185893309484582,3
132,31,34,1,0.5159963842937159,4
133,3,44,1,0.5134164023722473,6
134,27,38,1,0.510849320360386,4
135,-19,48,1,0.5082950737585841,8
136,57,26,1,0.5057535983897912,2
137,15,41,1,0.5032248303978422,5
138,-5,52,1,0.500708706245853,6
139,-81,74,1,0.4982051627146237,12
140,17,30,1,0.49571413690105054,6
141,-5,52,1,0.4932355662165453,6
142,-43,54,1,0.4907693883854626,10
143,45,29,1,0.4883155414435353,3
144,-21,59,1,0.4858739637363176,7
145,53,30,1,0.483444593917636,2
146,29,27,1,0.4810273709480478,5
147,27,29,1,0.47862223409330756,5
148,-7,45,1,0.47622912292284103,7
149,17,30,1,0.4738479773082268,6
150,39,26,1,0.47147873742168567,4
151,-5,43,1,0.46912134373457726,7
152,29,36,1,0.46677573701590436,4
153,45,29,1,0.46444185833082485,3
154,77,24,1,0.46211964903917074,0
155,21,35,1,0.4598090507939749,5
156,-7,36,1,0.457510005540005,8
157,35,30,1,0.45522245551230495,4
158,15,32,1,0.4529463432347434,6
159,57,26,1,0.4506816115185697,2
160,27,38,1,0.4484282034609769,4
161,27,29,1,0.446186062443672,5
162,59,33,1,0.4439551321314536,1
163,-43,45,1,0.4417353564707963,11
164,23,42,1,0.43952667968844233,4
165,45,29,1,0.43732904629000013,3
166,79,22,1,0.4351424010585501,0
167,75,26,1,0.43296668905325736,0
168,49,34,1,0.43080185560799106,2
169,31,34,1,0.4286478463299511,4
170,53,21,1,0.42650460709830135,3
171,33,23,1,0.42437208406280985,5
172,25,31,1,0.4222502236424958,5
173,67,25,1,0.42013897252428334,1
174,9,47,1,0.4180382776616619,5
175,17,48,1,0.4159480862733536,4
176,41,33,1,0.41386834584198684,3
177,69,23,1,0.4117990041127769,1
178,49,34,1,0.40974000909221303,2
179,33,32,1,0.40769130904675194,4
180,37,28,1,0.40565285250151817,4
181,1,46,1,0.4036245882390106,6
182,83,18,1,0.4016064652978155,0
183,59,24,1,0.3995984329713264,2
184,41,33,1,0.3976004408064698,3
185,47,36,1,0.39561243860243744,2
186,65,27,1,0.3936343764094253,1
187,57,26,1,0.39166620452737816,2
188,69,23,1,0.3897078735047413,1
189,71,21,1,0.3877593341372176,1
190,41,24,1,0.3858205374665315,4
191,27,29,1,0.38389143477919885,5
192,31,34,1,0.3819719776053028,4
193,55,28,1,0.3800621177172763,2
194,53,30,1,0.37816180712868996,2
195,27,38,1,0.37627099809304654,4
196,69,23,1,0.3743896431025813,1
197,69,23,1,0.37251769488706843,1
198,71,21,1,0.3706551064126331,1
199,31,34,1,0.36880183088056995,4
200,53,39,1,0.3669578217261671,1
201,71,21,1,0.36512303261753626,1
202,59,33,1,0.3632974174544486,1
203,49,25,1,0.3614809303671764,3
204,73,19,1,0.3596735257153405,1
205,43,31,1,0.3578751580867638,3
206,39,26,1,0.35608578229633,4
207,53,21,1,0.3543053533848483,3
208,53,30,1,0.35253382661792404,2
209,1,37,1,0.3507711574848344,7
210,81,20,1,0.34901730169741024,0
211,35,30,1,0.3472722151889232,4
212,49,34,1,0.3455358541129786,2
213,79,22,1,0.3438081748424137,0
214,61,31,1,0.3420891339682016,1
215,67,25,1,0.3403786882983606,1
216,35,30,1,0.3386767948568688,4
217,13,34,1,0.33698341088258443,6
218,41,33,1,0.3352984938281715,3
219,77,24,1,0.33362200135903064,0
220,73,19,1,0.33195389135223546,1
221,83,18,1,0.3302941218954743,0
222,25,31,1,0.32864265128599696,5
223,49,34,1,0.326999438029567,2
224,35,30,1,0.3253644408394192,4
225,73,19,1,0.3237376186352221,1
226,69,23,1,0.322118930542046,1
227,65,27,1,0.32050833588933575,1
228,55,28,1,0.31890579420988907,2
229,29,36,1,0.3173112652388396,4
230,75,26,1,0.3157247089126454,0
231,39,26,1,0.3141460853680822,4
232,73,19,1,0.3125753549412418,1
233,51,32,1,0.31101247816653554,2
234,67,25,1,0.30945741577570285,1
235,49,25,1,0.3079101286968243,3
236,59,24,1,0.3063705780533402,2
237,81,20,1,0.30483872516307353,0
238,67,25,1,0.3033145315372582,1
239,75,26,1,0.3017979588795719,0
240,73,28,1,0.30028896908517405,0
241,45,29,1,0.2987875242397482,3
242,69,23,1,0.29729358661854943,1
243,67,25,1,0.29580711868545667,1
244,17,30,1,0.2943280830920294,6
245,69,23,1,0.29285644267656924,1
246,57,26,1,0.2913921604631864,2
247,13,34,1,0.28993519966087045,6
248,63,20,1,0.2884855236625661,2
249,57,26,1,0.28704309604425327,2
250,81,20,1,0.285607880564032,0
251,69,23,1,0.28417984116121187,1
252,49,25,1,0.2827589419554058,3
253,79,22,1,0.28134514724562876,0
254,71,21,1,0.2799384215094006,1
255,45,29,1,0.27853872940185365,3
256,49,25,1,0.27714603575484437,3
257,35,30,1,0.2757603055760701,4
258,77,24,1,0.2743815040481898,0
259,71,21,1,0.2730095965279488,1
260,15,41,1,0.27164454854530906,5
261,47,36,1,0.2702863258025825,2
262,45,29,1,0.2689348941735696,3
263,81,20,1,0.26759021970270175,0
264,71,21,1,0.2662522686041882,1
265,65,27,1,0.2649210072611673,1
266,69,23,1,0.26359640222486147,1
267,69,23,1,0.26227842021373715,1
268,69,23,1,0.2609670281126685,1
269,59,24,1,0.25966219297210513,2
270,57,26,1,0.2583638820072446,2
271,55,28,1,0.2570720625972084,2
272,47,27,1,0.25578670228422234,3
273,73,19,1,0.25450776877280124,1
274,79,22,1,0.2532352299289372,0
275,33,32,1,0.2519690537792925,4
276,73,19,1,0.2507092085103961,1
277,55,28,1,0.2494556624678441,2
278,79,22,1,0.24820838415550486,0
279,77,24,1,0.24696734223472733,0
280,39,35,1,0.2457325055235537,3
281,49,25,1,0.24450384299593592,3
282,67,25,1,0.24328132378095624,1
283,81,20,1,0.24206491716205145,0
284,61,22,1,0.2408545925762412,2
285,59,24,1,0.23965031961336,2
286,69,23,1,0.2384520680152932,1
287,71,21,1,0.23725980767521673,1
288,71,21,1,0.23607350863684065,1
289,57,26,1,0.23489314109365644,2
290,55,28,1,0.23371867538818816,2
291,47,27,1,0.23255008201124722,3
292,47,27,1,0.231387331601191,3
293,73,19,1,0.23023039494318503,1
294,63,20,1,0.2290792429684691,2
295,71,21,1,0.22793384675362674,1
296,47,27,1,0.22679417751985861,3
297,47,27,1,0.22566020663225933,3
298,61,22,1,0.22453190559909803,2
299,83,18,1,0.22340924607110255,0
300,71,21,1,0.22229219984074702,1
301,61,22,1,0.2211807388415433,2
302,81,20,1,0.22007483514733558,0
303,75,26,1,0.2189744609715989,0
304,29,27,1,0.2178795886667409,5
305,61,22,1,0.2167901907234072,2
306,81,20,1,0.21570623976979014,0
307,83,18,1,0.21462770857094118,0
308,49,25,1,0.21355457002808648,3
309,67,25,1,0.21248679717794605,1
310,27,29,1,0.21142436319205632,5
311,71,21,1,0.21036724137609603,1
312,63,20,1,0.20931540516921554,2
313,81,20,1,0.20826882814336947,0
314,69,23,1,0.20722748400265262,1
315,71,21,1,0.20619134658263935,1
316,69,23,1,0.20516038984972615,1
317,53,21,1,0.2041345879004775,3
318,71,21,1,0.2031139149609751,1
319,51,23,1,0.20209834538617025,3
320,77,24,1,0.2010878536592394,0
321,69,23,1,0.2000824143909432,1
322,81,20,1,0.19908200231898848,0
323,71,21,1,0.19808659230739353,1
324,69,23,1,0.19709615934585656,1
325,67,25,1,0.19611067854912728,1
326,59,24,1,0.19513012515638165,2
327,71,21,1,0.19415447453059972,1
328,57,26,1,0.19318370215794672,2
329,53,30,1,0.192217783647157,2
330,43,31,1,0.1912566947289212,3
331,47,27,1,0.1903004112552766,3
332,63,20,1,0.18934890919900021,2
333,71,21,1,0.18840216465300522,1
334,71,21,1,0.18746015382974018,1
335,83,18,1,0.1865228530605915,0
336,51,23,1,0.18559023879528855,3
337,67,25,1,0.1846622876013121,1
338,71,21,1,0.18373897616330553,1
339,61,22,1,0.182820281282489,2
340,77,24,1,0.18190617987607657,0
341,59,24,1,0.18099664897669618,2
342,51,23,1,0.1800916657318127,3
343,81,20,1,0.17919120740315364,0
344,73,19,1,0.17829525136613786,1
345,67,25,1,0.17740377510930716,1
346,73,19,1,0.17651675623376062,1
347,59,24,1,0.1756341724525918,2
348,59,24,1,0.17475600159032884,2
349,63,20,1,0.17388222158237718,2
350,81,20,1,0.1730128104744653,0
351,71,21,1,0.17214774642209296,1
352,81,20,1,0.1712870076899825,0
353,77,24,1,0.17043057265153258,0
354,75,26,1,0.16957841978827493,0
355,59,24,1,0.16873052768933355,2
356,75,26,1,0.1678868750508869,0
357,71,21,1,0.16704744067563246,1
358,79,22,1,0.1662122034722543,0
359,69,23,1,0.16538114245489302,1
360,63,20,1,0.16455423674261854,2
361,63,29,1,0.16373146555890544,1
362,71,21,1,0.16291280823111093,1
363,73,19,1,0.16209824418995536,1
364,51,23,1,0.16128775296900558,3
365,59,24,1,0.16048131420416054,2
366,71,21,1,0.15967890763313974,1
367,83,18,1,0.15888051309497406,0
368,83,18,1,0.1580861105294992,0
369,81,20,1,0.1572956799768517,0
370,51,23,1,0.15650920157696743,3
371,81,20,1,0.1557266555690826,0
372,59,24,1,0.1549480222912372,2
373,71,21,1,0.15417328217978102,1
374,69,23,1,0.1534024157688821,1
375,65,27,1,0.1526354036900377,1
376,83,18,1,0.1518722266715875,0
377,71,21,1,0.15111286553822956,1
378,73,19,1,0.15035730121053842,1
379,73,19,1,0.14960551470448571,1
380,81,20,1,0.14885748713096328,0
381,77,24,1,0.14811319969530845,0
382,79,22,1,0.1473726336968319,0
383,83,18,1,0.14663577052834775,0
384,83,18,1,0.14590259167570602,0
385,79,22,1,0.1451730787173275,0
386,69,23,1,0.14444721332374086,1
387,81,20,1,0.14372497725712216,0
388,83,18,1,0.14300635237083656,0
389,75,26,1,0.14229132060898236,0
390,79,22,1,0.14157986400593744,0
391,71,21,1,0.14087196468590776,1
392,79,22,1,0.14016760486247823,0
393,59,24,1,0.13946676683816583,2
394,69,23,1,0.138769433003975,1
395,81,20,1,0.13807558583895513,0
396,65,27,1,0.13738520790976036,1
397,73,19,1,0.13669828187021155,1
398,81,20,1,0.13601479046086049,0
399,69,23,1,0.1353347165085562,1
400,83,18,1,0.1346580429260134,0
401,81,20,1,0.13398475271138335,0
402,71,21,1,0.13331482894782642,1
403,73,19,1,0.13264825480308728,1
404,81,20,1,0.13198501352907185,0
405,79,22,1,0.1313250884614265,0
406,51,23,1,0.13066846301911936,3
407,83,18,1,0.13001512070402377,0
408,83,18,1,0.12936504510050365,0
409,69,23,1,0.12871821987500112,1
410,67,25,1,0.12807462877562611,1
411,81,20,1,0.12743425563174798,0
412,73,19,1,0.12679708435358925,1
413,79,22,1,0.1261630989318213,0
414,53,21,1,0.1255322834371622,3
415,83,18,1,0.12490462201997637,0
416,83,18,1,0.1242800989098765,0
417,77,24,1,0.12365869841532712,0
418,55,28,1,0.12304040492325048,2
419,61,22,1,0.12242520289863423,2
420,71,21,1,0.12181307688414106,1
421,73,19,1,0.12120401149972035,1
422,69,23,1,0.12059799144222175,1
423,81,20,1,0.11999500148501063,0
424,81,20,1,0.11939502647758558,0
425,83,18,1,0.11879805134519765,0
426,81,20,1,0.11820406108847166,0
427,63,20,1,0.1176130407830293,2
428,79,22,1,0.11702497557911415,0
429,79,22,1,0.11643985070121858,0
430,73,19,1,0.11585765144771248,1
431,83,18,1,0.11527836319047392,0
432,83,18,1,0.11470197137452155,0
433,81,20,1,0.11412846151764894,0
434,69,23,1,0.1135578192100607,1
435,71,21,1,0.11299003011401039,1
436,81,20,1,0.11242507996344034,0
437,73,19,1,0.11186295456362313,1
438,83,18,1,0.11130363979080501,0
439,83,18,1,0.11074712159185099,0
440,73,19,1,0.11019338598389174,1
441,79,22,1,0.10964241905397228,0
442,61,22,1,0.10909420695870241,2
443,79,22,1,0.1085487359239089,0
444,79,22,1,0.10800599224428936,0
445,83,18,1,0.10746596228306791,0
446,83,18,1,0.10692863247165257,0
447,83,18,1,0.1063939893092943,0
448,61,22,1,0.10586201936274783,2
449,83,18,1,0.10533270926593409,0
450,81,20,1,0.10480604571960442,0
451,73,19,1,0.1042820154910064,1
452,81,20,1,0.10376060541355137,0
453,73,19,1,0.1032418023864836,1
454,69,23,1,0.10272559337455119,1
455,71,21,1,0.10221196540767843,1
456,73,19,1,0.10170090558064004,1
457,83,18,1,0.10119240105273684,0
458,81,20,1,0.10068643904747315,0
459,81,20,1,0.10018300685223579,0
460,83,18,1,0.0996820918179746,0
461,83,18,1,0.09918368135888474,0
462,83,18,1,0.09868776295209031,0
463,71,21,1,0.09819432413732986,1
464,81,20,1,0.09770335251664321,0
465,57,26,1,0.09721483575406,2
466,79,22,1,0.09672876157528969,0
467,83,18,1,0.09624511776741324,0
468,81,20,1,0.09576389217857617,0
469,63,20,1,0.09528507271768329,2
470,83,18,1,0.09480864735409487,0
471,81,20,1,0.0943346041173244,0
472,81,20,1,0.09386293109673778,0
473,83,18,1,0.09339361644125409,0
474,83,18,1,0.09292664835904782,0
475,83,18,1,0.09246201511725258,0
476,71,21,1,0.09199970504166631,1
477,83,18,1,0.09153970651645797,0
478,73,19,1,0.09108200798387568,1
479,81,20,1,0.0906265979439563,0
480,73,19,1,0.09017346495423652,1
481,83,18,1,0.08972259762946533,0
482,73,19,1,0.089273984641318,1
483,79,22,1,0.0888276147181114,0
484,73,19,1,0.08838347664452084,1
485,53,21,1,0.08794155926129824,3
486,71,21,1,0.08750185146499175,1
487,73,19,1,0.08706434220766679,1
488,71,21,1,0.08662902049662846,1
489,63,20,1,0.08619587539414532,2
490,61,22,1,0.08576489601717459,2
491,73,19,1,0.08533607153708872,1
492,81,20,1,0.08490939117940327,0
493,83,18,1,0.08448484422350626,0
494,81,20,1,0.08406242000238873,0
495,79,22,1,0.08364210790237678,0
496,81,20,1,0.0832238973628649,0
497,83,18,1,0.08280777787605056,0
498,81,20,1,0.08239373898667031,0
499,73,19,1,0.08198177029173696,1
500,83,18,1,0.08157186144027828,0
